date,description,reference_no,debit,credit,balance
2026-07-03,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260702362585121/RZPPAYOUT,0.00,4549.40,504549.40
2026-07-03,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260703525904456/RZPPAYOUT,0.00,258.13,504807.53
2026-07-04,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260703118406723/RZPPAYOUT,0.00,92518.17,597325.70
2026-07-04,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260704451492250/RZPPAYOUT,0.00,41772.71,639098.41
2026-07-04,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260704847401602/RZPPAYOUT,0.00,2247.06,641345.47
2026-07-05,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260704222500131/RZPPAYOUT,0.00,20194.27,661539.74
2026-07-05,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260704563723880/RZPPAYOUT,0.00,43940.32,705480.06
2026-07-05,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260705692749116/RZPPAYOUT,0.00,29968.02,735448.08
2026-07-05,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260705789705810/RZPPAYOUT,0.00,76979.73,812427.81
2026-07-06,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260705650921917/RZPPAYOUT,0.00,16157.83,828585.64
2026-07-06,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260705799145494/RZPPAYOUT,0.00,722.90,829308.54
2026-07-06,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260706269820594/RZPPAYOUT,0.00,8542.89,837851.43
2026-07-07,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260706712112671/RZPPAYOUT,0.00,3234.67,841086.10
2026-07-07,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260707498370582/RZPPAYOUT,0.00,2943.23,844029.33
2026-07-08,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260707285388355/RZPPAYOUT,0.00,1830.14,845859.47
2026-07-08,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260708464883950/RZPPAYOUT,0.00,22690.93,868550.40
2026-07-08,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260708729624046/RZPPAYOUT,0.00,1175.94,869726.34
2026-07-09,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260708141580226/RZPPAYOUT,0.00,1689.54,871415.88
2026-07-09,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260709282518553/RZPPAYOUT,0.00,72377.97,943793.85
2026-07-10,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260709665629791/RZPPAYOUT,0.00,451.46,944245.31
2026-07-10,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN2026071016211855/RZPPAYOUT,0.00,10632.38,954877.69
2026-07-11,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260710243171768/RZPPAYOUT,0.00,362.60,955240.29
2026-07-11,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260710718740490/RZPPAYOUT,0.00,574.49,955814.78
2026-07-11,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260710991990632/RZPPAYOUT,0.00,83900.45,1039715.23
2026-07-11,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260711721890096/RZPPAYOUT,0.00,4105.15,1043820.38
2026-07-11,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260711925677464/RZPPAYOUT,0.00,33238.97,1077059.35
2026-07-12,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260711813510897/RZPPAYOUT,0.00,790.78,1077850.13
2026-07-12,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HFCN20260711290812817/RZPPAYOUT,0.00,4120.29,1081970.42
2026-07-13,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260712409957384/RZPPAYOUT,0.00,498.65,1082469.07
2026-07-13,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260713166857303/RZPPAYOUT,0.00,32626.28,1115095.35
2026-07-14,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260713260221190/RZPPAYOUT,0.00,68485.05,1183580.40
2026-07-14,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260713329987621/RZPPAYOUT,0.00,18425.03,1202005.43
2026-07-14,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260713436889280/RZPPAYOUT,0.00,3795.62,1205801.05
2026-07-14,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260714250980852/RZPPAYOUT,0.00,18561.73,1224362.78
2026-07-14,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260714319497661/RZPPAYOUT,0.00,735.59,1225098.37
2026-07-14,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260714538912794/RZPPAYOUT,0.00,2729.40,1227827.77
2026-07-14,RAZORPAY CHARGEBACK REVERSAL,REV/HDFCN20260713145822897/CHARGEBACK,1603.00,0.00,1226224.77
2026-07-15,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260714326541099/RZPPAYOUT,0.00,910.37,1227135.14
2026-07-15,RAZORPAY SOFTWARE PVT LTD BUNDLE PAYOUT,NEFT/HDFCN20260714582727494/RZPPAYOUT,0.00,137854.13,1364989.27
