settlement_id,txn_ref,merchant_id,gross_amount,fee,tax_on_fee,net_amount,settlement_date,utr_number,status
setl_kw5ngcx1945nq4,order_xthv3a3zmf8mdd,mer_xaji0y6dpbhsah,30695.99,616.92,111.05,29968.02,2026-07-05,HDFCN20260705692749116,processed
setl_6uzhr5xff0t0pv,order_nhj7xvg0fn9xuy,mer_xaji0y6dpbhsah,936.00,21.72,3.91,910.37,2026-07-14,HDFCN20260714326541099,processed
setl_q85jsg65kxvf1t,order_h9sdbdw2pcn9t8,mer_xaji0y6dpbhsah,8753.00,178.06,32.05,8542.89,2026-07-06,HDFCN20260706269820594,processed
setl_1yzoyn6qicatva,order_vren93iiuc039t,mer_xaji0y6dpbhsah,1525.00,33.50,6.03,1485.47,2026-07-18,HDFCN20260718679064766,processed
setl_om5igqpki7p5tb,order_i64ciyhe7ur23g,mer_xaji0y6dpbhsah,71438.50,1431.77,257.72,69749.01,2026-07-16,HDFCN20260716165082363,processed
setl_0clbr7tcs4cc5o,order_874frhocn9j2qp,mer_xaji0y6dpbhsah,4208.00,87.16,15.69,4105.15,2026-07-11,HDFCN20260711721890096,processed
setl_755nf4zw9xa3kx,order_ubcxuljyljexq7,mer_xaji0y6dpbhsah,224.00,7.48,1.35,215.17,2026-07-20,HDFCN20260720242224154,processed
setl_pzue8yfbntpbn7,order_j60fkhmy4sj6bw,mer_xaji0y6dpbhsah,6444.00,131.88,23.74,6288.38,2026-07-22,HDFCN20260722895890631,processed
setl_4i3qk2iagl58kx,order_6hid25owf75935,mer_xaji0y6dpbhsah,1734.00,37.68,6.78,1689.54,2026-07-08,HDFCN20260708141580226,processed
setl_7tz0yncxll4zkl,order_y4la5ju9bvm2p9,mer_xaji0y6dpbhsah,23893.00,480.86,86.55,23325.59,2026-07-24,HDFCN20260724658260221,processed
setl_62gdswm31yihai,order_lztgxn0guo4kh2,mer_xaji0y6dpbhsah,85946.50,1721.93,309.95,83914.62,2026-07-24,HDFCN20260724952266893,processed
setl_2y9v86wzs3t60r,order_w1q5uznofy6452,mer_xaji0y6dpbhsah,374.99,10.50,1.89,362.60,2026-07-10,HDFCN20260710243171768,processed
setl_hp6vz41nam148p,order_14j1ripzim6cfn,mer_xaji0y6dpbhsah,33418.50,671.37,120.85,32626.28,2026-07-13,HDFCN20260713166857303,processed
setl_hl1n13jcat9mx2,order_rjrny20479t6vx,mer_xaji0y6dpbhsah,42786.00,858.72,154.57,41772.71,2026-07-04,HDFCN20260704451492250,processed
setl_7hv3izky22ubtx,order_18hafeyuhz1gv0,mer_xaji0y6dpbhsah,267.99,8.36,1.50,258.13,2026-07-03,HDFCN20260703525904456,processed
setl_7kq1uymrlrmjkv,order_sm43d8w3zp08j3,mer_xaji0y6dpbhsah,85931.99,1721.64,309.90,83900.45,2026-07-10,HDFCN20260710991990632,processed
setl_qlizl08yg0jv1v,order_usgiotirzqakoi,mer_xaji0y6dpbhsah,17092.50,344.85,62.07,16685.58,2026-07-26,HDFCN20260726854684750,processed
setl_3ocwbfuk9e1v2i,order_3kmkzebbk7w1da,mer_xaji0y6dpbhsah,20686.00,416.72,75.01,20194.27,2026-07-04,HDFCN20260704222500131,processed
setl_kk4cij2v2heifj,order_qp49kwv08hhxfg,mer_xaji0y6dpbhsah,78545.99,1573.92,283.31,76688.76,2026-07-17,HDFCN20260717348545713,processed
setl_b1qx6gvwrdmly4,order_cfl0ukeyz7srcb,mer_xaji0y6dpbhsah,592.00,14.84,2.67,574.49,2026-07-10,HDFCN20260710718740490,processed
setl_bjek5rbw2zlaoi,order_orxo1bdje153a5,mer_xaji0y6dpbhsah,6776.99,138.54,24.94,6613.51,2026-07-27,HDFCN20260727916033628,processed
setl_04ux5qrl1n759i,order_qe3rzsj49itn7s,mer_xaji0y6dpbhsah,61208.00,1227.16,220.89,59759.95,2026-07-31,HDFCN20260731403696046,processed
setl_8c2jwoclyt8w5r,order_i1b0z3nx39rbsv,mer_xaji0y6dpbhsah,38069.00,764.38,137.59,37167.03,2026-07-26,HDFCN20260726803066091,processed
setl_gvnyruiwqy6qkt,order_wiykid91zdfkbl,mer_xaji0y6dpbhsah,74131.00,1485.62,267.41,72377.97,2026-07-09,HDFCN20260709282518553,processed
setl_6k2vmwwyzx4w6x,order_pmvxpj4hnriuu9,mer_xaji0y6dpbhsah,452.99,12.06,2.17,438.76,2026-07-30,HDFCN20260730994253959,processed
setl_840982n2atqyyv,order_2bne6loh25nsjf,mer_xaji0y6dpbhsah,20789.00,418.78,75.38,20294.84,2026-07-16,HDFCN20260716909763993,processed
setl_y08p0fodro8bnp,order_dia5u6hc36kof8,mer_xaji0y6dpbhsah,3017.99,63.36,11.40,2943.23,2026-07-07,HDFCN20260707498370582,processed
setl_h5lf6a4fejgxaa,order_4dyt9moge4qxxv,mer_xaji0y6dpbhsah,1207.99,27.16,4.89,1175.94,2026-07-08,HDFCN20260708729624046,processed
setl_dzp6lfewvznvks,order_vajepecqnvqhw0,mer_xaji0y6dpbhsah,824.00,19.48,3.51,801.01,2026-07-18,HDFCN20260718836691577,processed
setl_d03uvulemx15z8,order_dz4x1zhqimqodp,mer_xaji0y6dpbhsah,45006.00,903.12,162.56,43940.32,2026-07-04,HDFCN20260704563723880,processed
setl_mgfxc08dtnqfll,order_muhxid4n1u3493,mer_xaji0y6dpbhsah,23243.00,467.86,84.21,22690.93,2026-07-08,HDFCN20260708464883950,processed
setl_khejla0gnzs43c,order_5f1bcppvohsmdy,mer_xaji0y6dpbhsah,757.00,18.14,3.27,735.59,2026-07-14,HDFCN20260714319497661,processed
setl_50h2cwtg1m8xfd,order_pqclpoxko8g8qy,mer_xaji0y6dpbhsah,1360.50,30.21,5.44,1324.85,2026-07-20,HDFCN20260720524951250,processed
setl_cslqc3c54wsqt2,order_hv1xg1r11q7uww,mer_xaji0y6dpbhsah,792.50,18.85,3.39,770.26,2026-07-17,HDFCN20260717735032128,processed
setl_1ybwmlunj48vfc,order_q3xlrfcd6mzsgi,mer_xaji0y6dpbhsah,2799.00,58.98,10.62,2729.40,2026-07-14,HDFCN20260714538912794,processed
setl_m1g9fk2st0sx5w,order_7lxxezduxlez89,mer_xaji0y6dpbhsah,18874.00,380.48,68.49,18425.03,2026-07-13,HDFCN20260713329987621,processed
setl_ns832ejx5td44k,order_fgyw6zbnz8v12i,mer_xaji0y6dpbhsah,20368.99,410.38,73.87,19884.74,2026-07-17,HDFCN20260717935504321,processed
setl_31qw6ahf7vp1ie,order_j6fp8hqmabsi9n,mer_xaji0y6dpbhsah,2305.00,49.10,8.84,2247.06,2026-07-04,HDFCN20260704847401602,processed
setl_bnn0mcixdu1emm,order_p2qd6vasifpwio,mer_xaji0y6dpbhsah,7805.00,159.10,28.64,7617.26,2026-07-19,HDFCN20260719604803700,processed
setl_5bxj2pop8mgyn2,order_3y9rgez7bh25ll,mer_xaji0y6dpbhsah,22794.00,458.88,82.60,22252.52,2026-07-27,HDFCN20260727483298103,processed
setl_2y8fv2bc2nnuvy,order_20cv3tlcxlvpym,mer_xaji0y6dpbhsah,16552.00,334.04,60.13,16157.83,2026-07-05,HDFCN20260705650921917,processed
setl_6qdy4lmct64z7w,order_n1utoxie0rnujj,mer_xaji0y6dpbhsah,1878.00,40.56,7.30,1830.14,2026-07-07,HDFCN20260707285388355,processed
setl_cqse3tv1es53sk,order_sehe2atn2twdl9,mer_xaji0y6dpbhsah,78843.99,1579.88,284.38,76979.73,2026-07-05,HDFCN20260705789705810,processed
setl_huwb6txki3oqyf,order_lzm764jwtektsg,mer_xaji0y6dpbhsah,744.00,17.88,3.22,722.90,2026-07-05,HDFCN20260705799145494,processed
setl_37zgf9q5rdoqiv,order_rhvlz049enulqj,mer_xaji0y6dpbhsah,8172.50,166.45,29.96,7976.09,2026-07-29,HDFCN20260729271476207,processed
setl_9ye9o2m71hssbe,order_br5xqt4p501nou,mer_xaji0y6dpbhsah,349.50,9.99,1.80,337.71,2026-07-19,HDFCN20260719986171278,processed
setl_l65wvjx8uibrsz,order_2sf6f7low4vssr,mer_xaji0y6dpbhsah,20561.00,414.22,74.56,20072.22,2026-07-24,HDFCN20260724726745401,processed
setl_8qtty5y2jr8kk7,order_fyb8dalfyo1750,mer_xaji0y6dpbhsah,3890.99,80.82,14.55,3795.62,2026-07-13,HDFCN20260713436889280,processed
setl_x0h3jujd0ib6ii,order_1zyrru7zkut6om,mer_xaji0y6dpbhsah,941.00,21.82,3.93,915.25,2026-07-25,HDFCN20260725574997731,processed
setl_or7875aud9k9tr,order_ozd1at7o75rh8l,mer_xaji0y6dpbhsah,811.00,19.22,3.46,788.32,2026-07-15,HDFCN20260715997866344,processed
setl_r7anqjluujmiyq,order_4qgefqjg02u1g4,mer_xaji0y6dpbhsah,19014.00,383.28,68.99,18561.73,2026-07-14,HDFCN20260714250980852,processed
setl_zcuctsuflsehud,order_os6zle6kwhef0v,mer_xaji0y6dpbhsah,3875.00,80.50,14.49,3780.01,2026-07-24,HDFCN20260724667121569,processed
setl_ex08n6q7nc85e4,order_3qsqcq30o30ubm,mer_xaji0y6dpbhsah,34046.00,683.92,123.11,33238.97,2026-07-11,HDFCN20260711925677464,processed
setl_cvqy5ibpt11f9i,order_gtt0iaakytt3im,mer_xaji0y6dpbhsah,29222.99,587.46,105.74,28529.79,2026-07-26,HDFCN20260726321278458,processed
setl_kgtii4fqcootnj,order_u13i59sojuv0gy,mer_xaji0y6dpbhsah,70143.99,1405.88,253.06,68485.05,2026-07-13,HDFCN20260713260221190,processed
setl_9rivh6t1ntmjsr,order_x74d0gjyv5g10u,mer_xaji0y6dpbhsah,640.00,15.80,2.84,621.36,2026-07-31,HDFCN20260731901955461,processed
setl_38xrg2gzr7txcb,order_201lhlb50atvzk,mer_xaji0y6dpbhsah,2351.50,50.03,9.01,2292.46,2026-07-20,HDFCN20260720919652226,processed
setl_szp7g7siwjm2c8,order_8y1o4izasnwywr,mer_xaji0y6dpbhsah,94758.00,1898.16,341.67,92518.17,2026-07-03,HDFCN20260703118406723,processed
setl_6yuj7yktxg4ahf,order_u9iy4x41dntcag,mer_xaji0y6dpbhsah,661.99,16.24,2.92,642.83,2026-07-31,HDFCN20260731327007332,processed
setl_w2qitngvn1kicj,order_7kuu4ytn02yc0m,mer_xaji0y6dpbhsah,12606.99,255.14,45.93,12305.92,2026-07-27,HDFCN20260727131810311,processed
setl_l88kzruin3oeuv,order_zw0ldalmjegqto,mer_xaji0y6dpbhsah,176.99,6.54,1.18,169.27,2026-07-27,HDFCN20260727614332794,processed
setl_tyt8qzpky32orw,order_5ao20u9isygjjf,mer_xaji0y6dpbhsah,14042.50,283.85,51.09,13707.56,2026-07-27,HDFCN20260727614332794,processed
setl_ixz2c9ros7yt2m,order_n7zrwqeao4n5pp,mer_xaji0y6dpbhsah,24477.00,492.54,88.66,23895.80,2026-07-27,HDFCN20260727614332794,processed
setl_vnzh13cd5glqj5,order_dixfwuxx8l2ddh,mer_xaji0y6dpbhsah,53971.00,1082.42,194.84,52693.74,2026-07-14,HDFCN20260714582727494,processed
setl_sxvwvm4w3zkwde,order_1vsmado8e7flqh,mer_xaji0y6dpbhsah,37795.50,758.91,136.60,36899.99,2026-07-14,HDFCN20260714582727494,processed
setl_ekgyspengwyx9t,order_k3e4xyf9igfu8i,mer_xaji0y6dpbhsah,49430.50,991.61,178.49,48260.40,2026-07-14,HDFCN20260714582727494,processed
setl_gq01tee13n3bzt,order_kg4w58rhnuxorz,mer_xaji0y6dpbhsah,604.00,15.08,2.71,498.65,2026-07-12,HDFCN20260712409957384,refund
setl_mktlzkj49yd827,order_d31k9qm3p91i3v,mer_xaji0y6dpbhsah,4526.99,93.54,16.84,3234.67,2026-07-06,HDFCN20260706712112671,refund
