order_id,settlement_id,bank_reference,expected_match_status,edge_case_label,notes
order_xthv3a3zmf8mdd,setl_kw5ngcx1945nq4,NEFT/HDFCN20260705692749116/RZPPAYOUT,matched,clean_match,regular sale
order_nhj7xvg0fn9xuy,setl_6uzhr5xff0t0pv,NEFT/HDFCN20260714326541099/RZPPAYOUT,matched,clean_match,regular sale
order_h9sdbdw2pcn9t8,setl_q85jsg65kxvf1t,NEFT/HDFCN20260706269820594/RZPPAYOUT,matched,clean_match,regular sale
order_vren93iiuc039t,setl_1yzoyn6qicatva,NEFT/HDFCN20260718679064766/RZPPAYOUT,matched,clean_match,regular sale
order_i64ciyhe7ur23g,setl_om5igqpki7p5tb,NEFT/HDFCN20260716165082363/RZPPAYOUT,matched,clean_match,regular sale
order_874frhocn9j2qp,setl_0clbr7tcs4cc5o,NEFT/HDFCN20260711721890096/RZPPAYOUT,matched,clean_match,regular sale
order_ubcxuljyljexq7,setl_755nf4zw9xa3kx,NEFT/HDFCN20260720242224154/RZPPAYOUT,matched,clean_match,regular sale
order_j60fkhmy4sj6bw,setl_pzue8yfbntpbn7,NEFT/HDFCN20260722895890631/RZPPAYOUT,matched,clean_match,regular sale
order_6hid25owf75935,setl_4i3qk2iagl58kx,NEFT/HDFCN20260708141580226/RZPPAYOUT,matched,clean_match,regular sale
order_y4la5ju9bvm2p9,setl_7tz0yncxll4zkl,NEFT/HDFCN20260724658260221/RZPPAYOUT,matched,clean_match,regular sale
order_lztgxn0guo4kh2,setl_62gdswm31yihai,NEFT/HDFCN20260724952266893/RZPPAYOUT,matched,clean_match,regular sale
order_w1q5uznofy6452,setl_2y9v86wzs3t60r,NEFT/HDFCN20260710243171768/RZPPAYOUT,matched,clean_match,regular sale
order_14j1ripzim6cfn,setl_hp6vz41nam148p,NEFT/HDFCN20260713166857303/RZPPAYOUT,matched,clean_match,regular sale
order_rjrny20479t6vx,setl_hl1n13jcat9mx2,NEFT/HDFCN20260704451492250/RZPPAYOUT,matched,clean_match,regular sale
order_18hafeyuhz1gv0,setl_7hv3izky22ubtx,NEFT/HDFCN20260703525904456/RZPPAYOUT,matched,clean_match,regular sale
order_sm43d8w3zp08j3,setl_7kq1uymrlrmjkv,NEFT/HDFCN20260710991990632/RZPPAYOUT,matched,clean_match,regular sale
order_usgiotirzqakoi,setl_qlizl08yg0jv1v,NEFT/HDFCN20260726854684750/RZPPAYOUT,matched,clean_match,regular sale
order_3kmkzebbk7w1da,setl_3ocwbfuk9e1v2i,NEFT/HDFCN20260704222500131/RZPPAYOUT,matched,clean_match,regular sale
order_qp49kwv08hhxfg,setl_kk4cij2v2heifj,NEFT/HDFCN20260717348545713/RZPPAYOUT,matched,clean_match,regular sale
order_cfl0ukeyz7srcb,setl_b1qx6gvwrdmly4,NEFT/HDFCN20260710718740490/RZPPAYOUT,matched,clean_match,regular sale
order_orxo1bdje153a5,setl_bjek5rbw2zlaoi,NEFT/HDFCN20260727916033628/RZPPAYOUT,matched,clean_match,regular sale
order_qe3rzsj49itn7s,setl_04ux5qrl1n759i,NEFT/HDFCN20260731403696046/RZPPAYOUT,matched,clean_match,regular sale
order_i1b0z3nx39rbsv,setl_8c2jwoclyt8w5r,NEFT/HDFCN20260726803066091/RZPPAYOUT,matched,clean_match,regular sale
order_wiykid91zdfkbl,setl_gvnyruiwqy6qkt,NEFT/HDFCN20260709282518553/RZPPAYOUT,matched,clean_match,regular sale
order_pmvxpj4hnriuu9,setl_6k2vmwwyzx4w6x,NEFT/HDFCN20260730994253959/RZPPAYOUT,matched,clean_match,regular sale
order_2bne6loh25nsjf,setl_840982n2atqyyv,NEFT/HDFCN20260716909763993/RZPPAYOUT,matched,clean_match,regular sale
order_dia5u6hc36kof8,setl_y08p0fodro8bnp,NEFT/HDFCN20260707498370582/RZPPAYOUT,matched,clean_match,regular sale
order_4dyt9moge4qxxv,setl_h5lf6a4fejgxaa,NEFT/HDFCN20260708729624046/RZPPAYOUT,matched,clean_match,regular sale
order_vajepecqnvqhw0,setl_dzp6lfewvznvks,NEFT/HDFCN20260718836691577/RZPPAYOUT,matched,clean_match,regular sale
order_dz4x1zhqimqodp,setl_d03uvulemx15z8,NEFT/HDFCN20260704563723880/RZPPAYOUT,matched,clean_match,regular sale
order_muhxid4n1u3493,setl_mgfxc08dtnqfll,NEFT/HDFCN20260708464883950/RZPPAYOUT,matched,clean_match,regular sale
order_5f1bcppvohsmdy,setl_khejla0gnzs43c,NEFT/HDFCN20260714319497661/RZPPAYOUT,matched,clean_match,regular sale
order_pqclpoxko8g8qy,setl_50h2cwtg1m8xfd,NEFT/HDFCN20260720524951250/RZPPAYOUT,matched,clean_match,regular sale
order_hv1xg1r11q7uww,setl_cslqc3c54wsqt2,NEFT/HDFCN20260717735032128/RZPPAYOUT,matched,clean_match,regular sale
order_q3xlrfcd6mzsgi,setl_1ybwmlunj48vfc,NEFT/HDFCN20260714538912794/RZPPAYOUT,matched,clean_match,regular sale
order_7lxxezduxlez89,setl_m1g9fk2st0sx5w,NEFT/HDFCN20260713329987621/RZPPAYOUT,matched,clean_match,regular sale
order_fgyw6zbnz8v12i,setl_ns832ejx5td44k,NEFT/HDFCN20260717935504321/RZPPAYOUT,matched,clean_match,regular sale
order_j6fp8hqmabsi9n,setl_31qw6ahf7vp1ie,NEFT/HDFCN20260704847401602/RZPPAYOUT,matched,clean_match,regular sale
order_p2qd6vasifpwio,setl_bnn0mcixdu1emm,NEFT/HDFCN20260719604803700/RZPPAYOUT,matched,clean_match,regular sale
order_3y9rgez7bh25ll,setl_5bxj2pop8mgyn2,NEFT/HDFCN20260727483298103/RZPPAYOUT,matched,clean_match,regular sale
order_20cv3tlcxlvpym,setl_2y8fv2bc2nnuvy,NEFT/HDFCN20260705650921917/RZPPAYOUT,matched,clean_match,regular sale
order_n1utoxie0rnujj,setl_6qdy4lmct64z7w,NEFT/HDFCN20260707285388355/RZPPAYOUT,matched,clean_match,regular sale
order_sehe2atn2twdl9,setl_cqse3tv1es53sk,NEFT/HDFCN20260705789705810/RZPPAYOUT,matched,clean_match,regular sale
order_lzm764jwtektsg,setl_huwb6txki3oqyf,NEFT/HDFCN20260705799145494/RZPPAYOUT,matched,clean_match,regular sale
order_rhvlz049enulqj,setl_37zgf9q5rdoqiv,NEFT/HDFCN20260729271476207/RZPPAYOUT,matched,clean_match,regular sale
order_br5xqt4p501nou,setl_9ye9o2m71hssbe,NEFT/HDFCN20260719986171278/RZPPAYOUT,matched,clean_match,regular sale
order_2sf6f7low4vssr,setl_l65wvjx8uibrsz,NEFT/HDFCN20260724726745401/RZPPAYOUT,matched,clean_match,regular sale
